have,with,about,pathway,title,description,url,format,documentType,publisher,jurisdiction,comments
Complaint;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour next door;a neighbour in my building;,Noise;,Formal Resolution;,Complain about noisy neighbours,"How to resolve problems with noisy neighbours, loud dogs and noisy vehicles, pubs and clubs.",http://www.qld.gov.au/law/housing-and-neighbours/noise-and-crime-in-the-neighbourhood/complain-about-noisy-neighbours/,text/html,form,Queensland,Queensland,"Online Complaint tool for loud music, parties, street racing and burnouts. Referres to Police, DRC, Dpt. Transport and Main Roads, and Liquor and Gaming"
Question;Concern;Issue;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour in my building;a neighbour next door;,Noise;,Self Resolution;,Noise,Information about noise exemptions and how to report noise pollution.,http://www.qld.gov.au/environment/pollution/pollution-management/noise/,text/html,guidelines,Queensland,Queensland,"Explains noise restrictions, complaints, Noise exemptions"
Complaint;Issue;Problem;Question;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my building;a neighbour in my street;,Noise;Dogs and other pets;Smells;,Assisted Resolution;,"Complaints - noise, water, smells and fire",,http://www.legalaid.qld.gov.au/legalinformation/livinginthecommunity/Neighbourhood/Pages/Complaints-noisewatersmellsandfire.aspx#What is a nuisance?,text/html,guidelines,Queensland,Queensland,"Complaints about noise, water, smells and fire. General information"
Complaint;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;,Noise;,Formal Resolution;,Noise/Party Complaint Online Form,,https://www.police.qld.gov.au/apps/reports/noiseComplaint,text/html,form,Queensland,Queensland,Online Noise/Party Complaint Online form for QPS
Problem;Question;Concern;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;,Noise;,Assisted Resolution;,Noise/Party Complaint Online Form,,https://www.police.qld.gov.au/apps/reports/noiseComplaint,text/html,guidelines,Queensland,Queensland,QPS Noisy Parties: What you need to know and Template for notifying your neighbours of parties.
Question;,a neighbour;,Noise;Dogs and other pets;,Self Resolution;,Local laws database,Queensland local governments have adopted a diverse range of local laws to assist them to govern their respective areas. The department maintains a database of local laws enacted by councils across Queensland. You must accept the,http://www.dlg.qld.gov.au/local-government/laws/local-laws-database.html,text/html,legislation,Queensland,Queensland,Local laws database - LS 18/6/15 - there was nothing immediately apparent at this site on overgrown gardens and it doesn't come up as a link for overgrown gardens on the tool
Question;Issue;Concern;,a neighbour;,Dogs and other pets;,Self Resolution;,Pets and animals,"See what you should consider when choosing a pet. You can also find information on your responsibilities, including pet registratin in Queensland.",https://www.qld.gov.au/families/government/pets/,text/html,guidelines,Queensland,Queensland,"General information about dog/pet ownership: Choosing and caring for your pet, restricted dogs, laws for pet owners in Qld"
Dispute;Disagreement;Question;,a neighbour;a neighbour next door;,Trees;,Self Resolution;,Step-by-step guide to resolving tree and fence disputes,A step-by-step guide to resolving tree or fence disputes with your neighbour.,https://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/resolving-tree-and-fence-disputes/step-by-step-guide-to-resolving-tree-and-fence-disputes/,text/html,procedure,Queensland,Queensland,Step by step guide to resolving tree and fence disputes
Concern;Question;,a neighbour;a neighbour next door;,Trees;,Self Resolution;,What to do if a neighbour's tree is affecting you,Your rights and responsibilities over nuisance trees on yours and your neighbour's property.,https://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/resolving-tree-and-fence-disputes/what-to-do-if-a-neighbours-tree-is-affecting-you/,text/html,guidelines,Queensland,Queensland,What to do if a neighbour's tree is affecting you
Concern;Question;,a neighbour;a neighbour next door;,Trees;,Self Resolution;,Avoiding disputes about trees,Use these tips to avoid a dispute with your neighbours over trees.,https://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/avoiding-fence-tree-and-building-disputes/avoiding-disputes-about-trees/,text/html,guidelines,Queensland,Queensland,Avoiding disputes about trees
Question;,a neighbour;a neighbour next door;,Trees;,Self Resolution;,Your responsibilities as a tree-keeper,Know your legal rights and responsibilities as tree-keeper.,https://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/avoiding-fence-tree-and-building-disputes/your-responsibilities-as-a-tree-keeper/,text/html,legislation,Queensland,Queensland,The responsibilities of a tree keeper
Disagreement;Dispute;Conflict;,a neighbour;a neighbour next door;,Trees;,Assisted Resolution;Self Resolution;,Trees and plants,,http://www.legalaid.qld.gov.au/legalinformation/livinginthecommunity/Neighbourhood/Pages/Treesandplants.aspx,text/html,guidelines,Queensland,Queensland,"Some basic legal information, rights, etc, from the legal aid website"
Complaint;,a neighbour;,Dogs and other pets;,Formal Resolution;,Barking dogs in the neighbourhood,Find out what you can do about a barking dog in your neighbourhood.,http://www.qld.gov.au/law/housing-and-neighbours/noise-and-crime-in-the-neighbourhood/barking-dogs-in-the-neighbourhood/,text/html,guidelines,Queensland,Queensland,Complaints about dogs - link to council websites
Question;Problem;Concern;,a neighbour;,Dogs and other pets;,Assisted Resolution;,"Animals - controlling, treating and owning",,http://www.legalaid.qld.gov.au/legalinformation/livinginthecommunity/Neighbourhood/Pages/Animals-controllingtreatingandowning.aspx,text/html,legislation,Queensland,Queensland,"Controlling, treating and owning animals from legal aid."
Problem;Concern;Question;,a neighbour;,Dogs and other pets;,Assisted Resolution;,Animals - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/animals.html,text/html,guidelines,Queensland,Queensland,"General page about animal noise, wandering pets, number of pets, dangerous pets, prohibited ptes, registration of pets."
Problem;Concern;Disagreement;Dispute;,a neighbour;a neighbour next door;,Trees;,Self Resolution;Assisted Resolution;,Tree Disputes Self Help Kit   nov 2013,Tree dispute information including how to use tree notices and how to apply to QCAT.,https://caxton.org.au/pdfs/Tree%20Disputes%20Self%20Help%20Kit%20-%20nov%202013.pdf,application/pdf,procedure,Australia,Australia,Caxton Legal self help tree dispute kit
Concern;Problem;,a neighbour;someone in my neighbourhood;,Dogs and other pets;,Self Resolution;,What if a complaint is made against your animal? - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/what-if-a-complaint-is-made-against-your-animal.html,text/html,guidelines,Queensland,Queensland,Information about what to do if a complaint is recevied against your animal.
Concern;Disagreement;Conflict;Dispute;,a neighbour;a neighbour next door;,Trees;,Self Resolution;Assisted Resolution;Formal Resolution;,Tree disputes - QCAT Queensland Civil and Administrative Tribunal,,http://www.qcat.qld.gov.au/matter-types/tree-disputes,text/html,guidelines,Queensland Civil and Administrative Tribunal,Queensland,QCAT website - information on tree disputes
Complaint;Problem;Disagreement;Conflict;Dispute;Issue;,a neighbour;someone in my neighbourhood;,Behaviours;Abuse;Threats;Harassment;,Formal Resolution;,m fs peace and good behaviour,How to apply for protection under the Peace and Good Behaviour Act.,http://www.courts.qld.gov.au/__data/assets/pdf_file/0009/84555/m-fs-peace-and-good-behaviour.pdf,application/pdf,fact sheet,Queensland,Queensland,Fact sheet relating to Peace and Good Behaviour Complaints
Disagreement;Conflict;Dispute;Issue;,a neighbour;someone in my neighbourhood;,Behaviours;Abuse;Threats;Harassment;,Formal Resolution;,Peace and Good Behaviour Order kit 2013,Guide to peace and good behaviour orders.,https://caxton.org.au/pdfs/Peace%20and%20Good%20Behaviour%20Order%20kit%202013.pdf,application/pdf,fact sheet,Australia,Australia,Legal Self Help Kit from Caxton Legal Service
Disagreement;Conflict;Dispute;Issue;,a neighbour;someone in my neighbourhood;,Behaviours;Abuse;Threats;Harassment;,Formal Resolution;,Tree disputes - QCAT Queensland Civil and Administrative Tribunal,,http://www.courts.qld.gov.au/__data/assets/pdf_file/0004/88150/pgb-f-1.pdf,application/pdf,form,Queensland Civil and Administrative Tribunal,Queensland,Forms 1 (Complaint) under the Peace and Good Behaviour Act 1982
Disagreement;Conflict;Dispute;Issue;,a neighbour;someone in my neighbourhood;,Behaviours;Abuse;Threats;Harassment;,Formal Resolution;,Tree disputes - QCAT Queensland Civil and Administrative Tribunal,,http://www.courts.qld.gov.au/__data/assets/pdf_file/0006/88152/pgb-f-2.pdf,application/pdf,form,Queensland Civil and Administrative Tribunal,Queensland,Form 2 (Summons) under the Peace and Good Behaviour Act.
Dispute;Conflict;,a neighbour;a neighbour next door;,Trees;,Formal Resolution;,Frequently asked questions - tree disputes - QCAT Queensland Civil and Administrative Tribunal,,http://www.qcat.qld.gov.au/matter-types/tree-disputes/faq-tree-disputes,text/html,guidelines,Queensland Department of Justice and Attorney-General,Queensland,Frequently asked questions in relation to tree disputes before QCAT
Conflict;Dispute;,a neighbour;a neighbour next door;someone in my neighbourhood;an adjoining landowners;,Trees;,Formal Resolution;,Overhanging branches and debt disputes - QCAT Queensland Civil and Administrative Tribunal,,http://www.qcat.qld.gov.au/matter-types/tree-disputes/overhanging-branches,text/html,procedure,Queensland Department of Justice and Attorney-General,Queensland,Information regarding minor debt disputes before QCAT about overhanging branches
Conflict;Dispute;Question;,a neighbour;a neighbour next door;,Trees;,Formal Resolution;,Tree dispute application - QCAT Queensland Civil and Administrative Tribunal,,http://www.qcat.qld.gov.au/matter-types/tree-disputes/tree-dispute-application,text/html,procedure,Queensland Department of Justice and Attorney-General,Queensland,How to lodge a tree dispute application with QCAT
Dispute;Conflict;,a neighbour;a neighbour next door;a neighbour next door;an adjoining landowners;,Trees;,Formal Resolution;,Application checklist Tree dispute resolution,Use this checklist to help make a tree dispute application to the Queensland Civil and Administrative Tribunal (QCAT).,http://www.qcat.qld.gov.au/__data/assets/pdf_file/0014/205403/Application-checklist-Tree-dispute-resolution.pdf,application/pdf,form,Queensland,Queensland,Check list to use before lodging an application with QCAT
Dispute;,a neighbour;a neighbour next door;an adjoining landowners;,Trees;,Formal Resolution;,Form 51 application for a tree dispute v2,Use this form to make a tree dispute application to the Queensland Civil and Administrative Tribunal (QCAT).,http://www.qcat.qld.gov.au/__data/assets/pdf_file/0011/129683/Form-51-application-for-a-tree-dispute-v2.pdf,application/pdf,form,Queensland,Queensland,Formal application for a tree dispute - QCAT
Dispute;,a neighbour;a neighbour next door;an adjoining landowners;,Trees;,Formal Resolution;,Form 52 Response to application for a tree dispute v2,Use this form to respond if a tree dispute application is made about you in the Queensland Civil and Administrative Tribunal (QCAT).,http://www.qcat.qld.gov.au/__data/assets/pdf_file/0003/129684/Form-52-Response-to-application-for-a-tree-dispute-v2.pdf,application/pdf,form,Queensland,Queensland,Formal response form to an application for a tree dispute. To be used by the tree keeper.
Dispute;Concern;Problem;Question;Complaint;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;,Children;,Formal Resolution;,protecting children,"How to prevent, respond to and report child abuse.",http://www.communities.qld.gov.au/childsafety/protecting-children,text/html,guidelines,Queensland,Queensland,"Child Safety information for protecting children: information on preventing, reporting, and responding to child abuse; ongoing intervention; contacts and link to reports/publications."
Problem;Concern;Dispute;Conflict;Question;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour next door;a neighbour in my building;,Children;,Self Resolution;Assisted Resolution;,Things people say,,"http://www.legalaid.qld.gov.au/legalinformation/livinginthecommunity/Neighbourhood/Pages/Thingspeoplesay.aspx#What can I do if children are taunting me or my child, or making comments?",text/html,guidelines,Queensland,Queensland,Brief information regarding rights/options in relation to unwanted children's behaviour (verbal abuse/threats).
Problem;Concern;Dispute;Conflict;Question;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour next door;a neighbour in my building;,Children;,Self Resolution;Assisted Resolution;,If you are being bullied,"Information about what to do if you are being bullied, where to get support, and some helpful resources.",https://www.qld.gov.au/youth/family-social-support/being-bullied/,text/html,guidelines,Queensland,Queensland,"Information on what to do if you are being bullied. Includes links to further information on bullying, cyberbullying and related statistics."
Problem;Concern;Dispute;Conflict;Question;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour next door;a neighbour in my building;,Easements;,Self Resolution;Assisted Resolution;,Boundaries and easements,,http://www.legalaid.qld.gov.au/legalinformation/livinginthecommunity/neighbourhood/pages/boundariesandeasements.aspx#What is an easement?,text/html,guidelines,Queensland,Queensland,Information from legal aid about boundaries and easements
Problem;Concern;Dispute;Conflict;Question;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour next door;,Easements;,Self Resolution;,Easements - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/easements.html,text/html,guidelines,Queensland,Queensland,Information about easements
Problem;Concern;Dispute;Conflict;Question;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour next door;,Easements;,Self Resolution;,Easements,How to apply for an easement over state land or the continuation of a public utility easement.,http://www.qld.gov.au/environment/land/state/easements/,text/html,guidelines,Queensland,Queensland,general information about easements
Problem;Concern;Dispute;Conflict;Question;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour next door;,Easements;,Self Resolution;,Easements,"Easements over land may be granted for a specific purpose, including access, drainage, sewerage, or supply of water or gas.",http://www.qld.gov.au/environment/land/state/easements/applying/,text/html,form,Queensland,Queensland,application for easement
Problem;Concern;Dispute;Conflict;Question;,a neighbour;someone in my neighbourhood;a neighbour in my street;a neighbour next door;,Easements;,Self Resolution;,Easements,How to apply for the continuation of a public utility easement over freehold land that is to become public use land.,http://www.qld.gov.au/environment/land/state/easements/public-utility/,text/html,form,Queensland,Queensland,application for easement
Question;Concern;Conflict;Complaint;Issue;,someone in my neighbourhood;a neighbour;a neighbour next door;a neighbour in my street;a neighbour in my building;,Renovations;,Self Resolution;Assisted Resolution;,Development Permits and Approvals - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/development-permits-and-approvals.html,text/html,guidelines,Queensland,Queensland,Provides information on neighbour's rights relating to use of own land and links to Local government and legislative information.
Question;Concern;Conflict;Complaint;Issue;,someone in my neighbourhood;a neighbour;a neighbour next door;a neighbour in my street;a neighbour in my building;,Renovations;,Self Resolution;,Avoiding building disputes,To avoid building disputes it is important to work out all details before the building work begins.,http://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/avoiding-fence-tree-and-building-disputes/avoiding-building-disputes/,text/html,guidelines,Queensland,Queensland,Provides advice on how to avoid building disputes; includes some information on approaching neighbours
Concern;Problem;Complaint;Question;Issue;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;,Wildlife;,Self Resolution;Assisted Resolution;,Prohibited Pets - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/prohibited-pets.html,text/html,guidelines,Queensland,Queensland,QAILS - Qld Neighbourhood Disputes > Animals
Concern;Complaint;Question;Issue;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;,Wildlife;,Self Resolution;Assisted Resolution;,City of Gold Coast | Animal complaints,Information on how to report an animal complaint.,http://www.goldcoast.qld.gov.au/community/wildlife-18266.html,text/html,procedure,City of Gold Coast,Gold Coast City Council,LS - Suggest you replace it with the next page entitled WILDLIFE -
Concern;Complaint;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;,Wildlife;Dogs and other pets;,Self Resolution;Assisted Resolution;,"Animals - controlling, treating and owning",,http://www.legalaid.qld.gov.au/LEGALINFORMATION/LIVINGINTHECOMMUNITY/NEIGHBOURHOOD/Pages/Animals-controllingtreatingandowning.aspx,text/html,guidelines,Queensland,Queensland,"LAQ - no legal advice offered - Animals - Controlling, treating, owning > complain about mistreatment"
